数码网屏L350机长,印刷/包装/造纸,盈彩（恩平）包装科技有限公司,中技/中专,5-7千,2年,江门
财务会计,贸易/进出口,杭州步锐特橡塑制品有限公司,大专,6-8千,1年,杭州
PIE工程师（电子烟）,电子技术/半导体/集成电路,深圳冀豫恒科技有限公司,大专,1-1.5万,3-4年,深圳
UED,电子技术/半导体/集成电路,河南菠菜包电子科技有限公司,本科,4-6千,3-4年,郑州
销售工程师（锂电设备）,机械/设备/重工,深圳市尚水智能股份有限公司,大专,1-1.5万·24薪,3-4年,苏州
质量工程师,新能源,苏州快可光伏电子股份有限公司,大专,8千-1.2万,2年,崇左
外贸经理（耳机）,电子技术/半导体/集成电路,深圳市汉科电子股份有限公司,大专,1-2万,2年,东莞
会所接待主管,房地产,深圳市明昇发展有限公司,大专,1-1.4万·15薪,3-4年,深圳
销售工程师（锂电设备）,机械/设备/重工,深圳市尚水智能股份有限公司,大专,1-1.5万·24薪,3-4年,苏州
外贸经理（耳机）,电子技术/半导体/集成电路,深圳市汉科电子股份有限公司,大专,1-2万,2年,东莞
销售经理,电子技术/半导体/集成电路,柯依努（苏州）精密光电有限公司,大专,6千-1.2万,3-4年,常熟
销售助理/销售内勤,电子技术/半导体/集成电路,上海直能电力电子有限公司,本科,7千-1.4万,1年,上海
日语业务跟单,贸易/进出口,青岛贝来国际贸易有限公司,本科,4-7千,1年,青岛
车间核算员,电子技术/半导体/集成电路,常州丰盛光电科技股份有限公司,高中,3.5-4千,无需经验,常州
会计,电子技术/半导体/集成电路,柯依努（苏州）精密光电有限公司,本科,5.5-7千,2年,常熟
人力行政专员,专业服务(咨询、人力资源、财会),安徽未染包装材料有限公司,大专,3.5-4.3千,无需经验,滁州
业务拓展销售（工业）BDM Industry,机械/设备/重工,世万保制动器（上海）有限公司,本科,1.5-2.5万·13薪,5-7年,上海
人力资源专员,新能源,湖南永杉锂业有限公司,本科,5-6千,1年,长沙
财务经理,电子技术/半导体/集成电路,珠海中京电子电路有限公司,本科,2-2.5万,8-9年,珠海
电子焊锡工,机械/设备/重工,杭州力夫机电制造有限公司,初中及以下,6-7千,1年,杭州
运管专员,多元化业务集团公司,江苏龙城国有控股集团有限公司,本科,6.5千-1万,3-4年,常州
CNC/数控工程师,汽车零配件,摩擦一号制动科技（仙桃）有限公司,大专,6.5-9千,3-4年,仙桃
国际幼儿园中文主班,教育/培训/院校,苏州工业园区青剑湖伊顿幼儿园,大专,5.5-7千·13薪,2年,苏州
QE工程师,家具/家电/玩具/礼品,卓力电器集团有限公司,本科,8千-1.2万,3-4年,宁波
IQC质检员,贸易/进出口,荆州市信义工贸股份有限公司,中技/中专,4.2-6千,1年,荆州
证券经纪人（国企、央企、上市公司),金融/投资/证券,招商证券股份有限公司南京庐山路证券营业部,大专,6千-1.2万,无需经验,南京
青剑湖伊顿国际幼儿园 英语主班,教育/培训/院校,苏州工业园区青剑湖伊顿幼儿园,大专,5.5-7千·13薪,2年,苏州
汽配外贸采购,汽车零配件,上海麦锐特实业发展有限公司,大专,7千-1.2万,1年,上海
左岭世茂十里星河小区保安（消防设施证）4000-4200,生活服务,湖北中城特卫保安服务有限公司,初中及以下,4-4.2千,无需经验,武汉
加盟招商经理,餐饮业,武汉市和善园餐饮管理有限公司,本科,5千-1万,3-4年,武汉
内贸业务员(周末双休 五险一金）,贸易/进出口,杭州步锐特橡塑制品有限公司,大专,6千-1.2万,1年,杭州
PIE工程师（电子烟）,电子技术/半导体/集成电路,深圳冀豫恒科技有限公司,大专,1-1.5万,3-4年,深圳
质量工程师,新能源,苏州快可光伏电子股份有限公司,大专,8千-1.2万,2年,崇左
会所接待主管,房地产,深圳市明昇发展有限公司,大专,1-1.4万·15薪,3-4年,深圳
财务会计,贸易/进出口,杭州步锐特橡塑制品有限公司,大专,6-8千,1年,杭州
生产经理,快速消费品(食品、饮料、化妆品),朝一蛋品（上海）有限公司,大专,1-1.5万,5-7年,上海
普工,汽车,宁波路润冷却器制造有限公司,,6-8千,1年,宁波
大客户经理（机床行业）,机械/设备/重工,山东嘉瑞工业发展有限公司,高中,8千-1万,3-4年,潍坊
资材主管,仪器仪表/工业自动化,重庆辉生泰新材料科技有限公司,本科,1.5-2.5万·13薪,5-7年,苏州
嵌入式软件工程师,家具/家电/玩具/礼品,澳兰斯健康产业有限公司,大专,1.3-2.5万,5-7年,广州
客服专员,酒店/旅游,珠海海贝国际旅行社有限公司,中技/中专,4-6千,1年,珠海
机电安装专业监理员,专业服务(咨询、人力资源、财会),昆山市建设咨询监理有限公司,中技/中专,5-6千,1年,昆山
车间核算员,电子技术/半导体/集成电路,常州丰盛光电科技股份有限公司,高中,3.5-4千,无需经验,常州
人力行政专员,专业服务(咨询、人力资源、财会),安徽未染包装材料有限公司,大专,3.5-4.3千,无需经验,滁州
业务拓展销售（工业）BDM Industry,机械/设备/重工,世万保制动器（上海）有限公司,本科,1.5-2.5万·13薪,5-7年,上海
人力资源专员,新能源,湖南永杉锂业有限公司,本科,5-6千,1年,长沙
内审员,电子技术/半导体/集成电路,广州新锐光掩模科技有限公司,本科,1.5-3万·14薪,5-7年,广州
跨境电商经理,医疗设备/器械,珠海雅莎生物科技股份有限公司,大专,1.2-2万,5-7年,广州
采购员,汽车零配件,宁波捷司科技有限公司,大专,5-8千·13薪,2年,宁波
班车客运司机（A1兼职/临时）,交通/运输/物流,上海锦勤汽车服务有限公司,,400元/天,3-4年,上海
高级自动化机械工程师,仪器仪表/工业自动化,深圳市大德激光技术有限公司,本科,2-4万,10年以上,深圳
注塑模具工程师,汽车,重庆双英汽车配件制造有限公司,大专,8千-1万,3-4年,重庆
博士后,制药/生物工程,上海浦东解码生命科学研究院,博士,2-4万,无需经验,上海
机电安装工程师,机械/设备/重工,上海泉田机电有限公司,大专,6千-1万,1年,上海
区域大客户销售经理,交通/运输/物流,近铁国际物流（中国）有限公司上海分公司,大专,2-3万·13薪,5-7年,上海
先期质量工程师,汽车,重庆双英汽车配件制造有限公司,大专,8千-1万,3-4年,重庆
财务经理,医疗/护理/卫生,广东爱领医疗投资有限公司,本科,1-1.5万,3-4年,东莞
电子嵌入式电气工程师,制药/生物工程,上海横道线生命科技有限公司,大专,1.5-3万,5-7年,上海
技术支持/应用工程师（FAE）,电子技术/半导体/集成电路,四川升华电源科技有限公司,大专,8千-1.6万,3-4年,成都
电工班长（HJMT086）,机械/设备/重工,广州豪进集团有限公司,大专,5-7千·14薪,1年,广州
高薪聘请结构工程师待遇优,机械/设备/重工,合肥慧沃数控设备有限公司,大专,1.5-2万·13薪,3-4年,合肥
财务会计主管,制药/生物工程,上海横道线生命科技有限公司,大专,8千-1万·13薪,2年,上海
硬件销售工程师,电子技术/半导体/集成电路,四川升华电源科技有限公司,大专,6千-1.2万,1年,成都
行政专员,房地产,佛山华粤投资控股有限公司,大专,4-6千·13薪,无需经验,佛山
CNC编程技术人员,仪器仪表/工业自动化,冠威科技（武汉）有限公司,中技/中专,7-9千,3-4年,武汉
业务助理,原材料和加工,苏州鼎佳精密科技股份有限公司,大专,6-7千·13薪,1年,苏州
境外会计,电子技术/半导体/集成电路,广州晶和光电科技有限公司,本科,7千-1万,2年,广州
主体结构检测员,建筑/建材/工程,中山市南头铭兴建设工程质量检测有限公司,大专,3.5-6千,1年,中山
人力资源经理,仪器仪表/工业自动化,江苏高凯精密流体技术股份有限公司,本科,2-3万·13薪,8-9年,常州
嵌入式工程师,快速消费品(食品、饮料、化妆品),上海博爵企业管理咨询有限公司,大专,1.3-2万,3-4年,杭州
人力行政专员,专业服务(咨询、人力资源、财会),安徽未染包装材料有限公司,大专,3.5-4.3千,无需经验,滁州
商务助理,医疗设备/器械,昆明喜田松佰医疗器械有限公司,大专,4.5-6千,1年,昆明
业务拓展销售（工业）BDM Industry,机械/设备/重工,世万保制动器（上海）有限公司,本科,1.5-2.5万·13薪,5-7年,上海
人力资源专员,新能源,湖南永杉锂业有限公司,本科,5-6千,1年,长沙
